fec_vta,suc_vta,or_vta,stat_vta,cve_esp,clas_car,stat_reg,cve_gra,cve_serv,tip_com,par_dat,emi_stat,cor_sc,per_int,ser_id,zon_vta,vta_id,bol_vta,fi_vta,var_ord,fec_ord,cve_ord_dte,cve_vta_ord,imp_ant,diniper,digitover,gcioid,fec_arb
2024-10-25,2162,6619022142,1,799432,V,1,0,0,12,799432,0,3,4,0,106,184,3,-1,0.00,1901-01-01 00:00:00,00822301  ,8231,554.00,2024-11-02 16:44:00,9,1,2024-11-21 03:16:03.455857000
2024-10-30,2245,5072882225,1,613185,V,0,0,0,11,613185,0,0,115,0,0,184,3,0,25875.00,1901-01-01 00:00:00,999999    ,0,225.00,2024-11-16 15:06:00,6,1,2024-11-21 03:16:03.455857000
2024-10-27,2523,18666152503,1,103295,V,1,0,0,11,1076462,0,0,3,0,23,291,3,-1,0.00,1901-01-01 00:00:00,00823310  ,5660,214.00,2024-11-09 00:00:00,2,1,2024-11-21 03:16:03.455857000
2024-10-28,2306,17627942286,1,1249923,V,0,0,0,11,1249923,0,0,72,0,0,184,3,0,16920.00,1901-01-01 00:00:00,999999    ,0,235.00,2024-11-10 20:39:00,2,1,2024-11-21 03:16:03.455857000
2024-10-30,2387,8759752367,1,755673,V,0,0,0,11,755673,0,0,26,0,0,184,3,0,12142.00,1901-01-01 00:00:00,999999    ,0,467.00,2024-11-12 16:30:00,5,1,2024-11-21 03:16:03.455857000
2024-10-27,1276,419791256,1,60970,V,0,0,0,11,60970,0,0,154,0,0,184,3,0,54208.00,1901-01-01 00:00:00,999999    ,0,352.00,2024-11-03 16:03:00,1,1,2024-11-21 03:16:03.455857000
2024-10-28,2242,9877352222,1,52775,V,1,0,0,11,1126942,0,3,1,0,36,184,3,2,0.00,1901-01-01 00:00:00,977666    ,3370,255.00,2024-11-06 15:44:00,4,1,2024-11-21 03:16:03.455857000
2024-10-29,2245,5072562225,1,28307,V,1,0,0,11,613133,0,2,2,0,8,184,3,0,0.00,1901-01-01 00:00:00,324774    ,1034,362.00,2024-11-10 19:03:00,3,1,2024-11-21 03:16:03.455857000
2024-10-27,1057,9074481037,1,1043706,V,0,0,0,11,1043706,0,0,154,0,7,184,3,0,31878.00,1901-01-01 00:00:00,981367    ,1381,207.00,2024-11-09 18:31:00,7,1,2024-11-21 03:16:03.455857000
2024-10-26,1265,687358101245,1,1636294,V,0,0,0,10,1636294,0,0,102,0,0,184,3,0,20094.00,1901-01-01 00:00:00,999999    ,0,197.00,2024-11-05 20:03:00,7,1,2024-11-21 03:16:03.455857000
